City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hambantota,6.12,81.12,77.0,100,40,4.7,LK,1603331810
Codrington,-38.27,141.97,61.21,68,65,6.76,AU,1603331559
Ushuaia,-54.8,-68.3,50.0,53,75,10.29,AR,1603331810
Cabedelo,-6.98,-34.83,77.0,94,75,5.82,BR,1603331810
Yar-Sale,66.83,70.83,19.33,97,91,12.86,RU,1603331811
Maceió,-9.67,-35.74,75.2,88,40,3.36,BR,1603331811
Kohlu,29.9,69.25,54.75,30,0,2.01,PK,1603331811
Vila Velha,-20.33,-40.29,75.2,94,90,2.24,BR,1603331811
Sept-Îles,50.2,-66.38,37.0,100,90,14.99,CA,1603331811
Cayenne,4.93,-52.33,77.0,100,20,9.35,GF,1603331812
Bredasdorp,-34.53,20.04,57.2,87,0,3.36,ZA,1603331812
Ribeira Grande,38.52,-28.7,63.18,71,97,16.62,PT,1603331812
Raahe,64.68,24.48,33.01,94,90,13.87,FI,1603331833
Xai-Xai,-25.05,33.64,69.04,91,40,8.43,MZ,1603331833
Notodden,59.56,9.26,39.99,98,100,4.0,NO,1603331833
Formosa,-26.18,-58.18,77.0,78,40,4.7,AR,1603331834
Port Alfred,-33.59,26.89,61.68,81,0,9.17,ZA,1603331834
Saint-Léonard,47.17,-67.92,48.99,100,100,10.65,CA,1603331834
Kisangani,0.52,25.2,70.83,98,100,2.35,CD,1603331834
Axum,14.12,38.72,56.03,66,0,4.59,ET,1603331834
Cape Town,-33.93,18.42,59.0,87,0,14.99,ZA,1603331768
Qusar,41.43,48.43,46.51,74,66,2.26,AZ,1603331835
Ostrovnoy,68.05,39.51,29.39,97,98,5.75,RU,1603331572
Concepción del Uruguay,-32.48,-58.24,63.0,72,62,8.99,AR,1603331835
Lebu,-37.62,-73.65,47.3,82,0,15.12,CL,1603331835
Saldanha,-33.01,17.94,51.8,81,0,5.82,ZA,1603331243
Scarborough,54.28,-0.4,52.0,89,98,4.0,GB,1603331695
Punta Arenas,-53.15,-70.92,48.2,61,75,6.93,CL,1603331788
Ikryanoye,46.09,47.73,39.2,57,100,4.07,RU,1603331836
Atar,20.52,-13.05,84.09,29,0,2.57,MR,1603331836
Mongo,12.18,18.69,76.68,43,96,1.72,TD,1603331836
Goderich,43.75,-81.72,54.0,80,26,10.49,CA,1603331837
East London,-33.02,27.91,62.74,81,0,11.16,ZA,1603331837
Līgatne,57.23,25.04,48.0,97,100,3.0,LV,1603331837
Nizhniy Odes,63.64,54.86,21.22,96,100,9.33,RU,1603331837
Rørvik,64.86,11.24,37.44,77,56,6.35,NO,1603331837
Touros,-5.2,-35.46,75.2,100,75,4.7,BR,1603331838
Saint George,37.1,-113.58,78.8,10,1,1.16,US,1603331562
Hereford,52.06,-2.71,51.01,96,90,1.01,GB,1603331838
Aguçadoura,41.43,-8.78,57.2,93,40,5.82,PT,1603331838
Nanortalik,60.14,-45.24,33.85,85,75,27.54,GL,1603331838
Salta,-24.79,-65.41,69.8,64,75,9.17,AR,1603331839
Iskateley,67.68,53.15,24.01,95,12,7.47,RU,1603331839
Sisimiut,66.94,-53.67,28.89,94,92,5.08,GL,1603331639
Inta,66.03,60.17,17.22,97,84,8.61,RU,1603331839
Hermanus,-34.42,19.23,55.99,96,0,1.99,ZA,1603331839
Busselton,-33.65,115.33,61.0,66,22,4.0,AU,1603331840
Porto Belo,-27.16,-48.55,73.4,83,40,6.93,BR,1603331840
Velasco Ibarra,-1.05,-79.62,77.7,67,28,5.32,EC,1603331840
Thunder Bay,48.4,-89.32,35.6,94,75,10.29,CA,1603331840
Ust'-Ishim,57.69,71.17,32.29,94,100,9.15,RU,1603331840
Pavlogradka,54.2,73.56,35.42,84,100,13.89,RU,1603331841
Bambous Virieux,-20.34,57.76,73.4,78,40,10.29,MU,1603331841
Muscat,23.61,58.59,73.11,47,1,8.37,OM,1603331744
Buchanan,5.88,-10.05,77.0,90,98,5.46,LR,1603331841
Waldoboro,44.1,-69.38,55.4,100,90,3.36,US,1603331841
Lüderitz,-26.65,15.16,57.97,87,54,21.7,NA,1603331842
San Miguel de Tucumán,-26.82,-65.22,62.6,93,90,4.7,AR,1603331798
Hof,50.32,11.92,52.0,78,20,1.99,DE,1603331842
Jardim,-21.48,-56.14,77.67,68,72,3.15,BR,1603331842
Upernavik,72.79,-56.15,23.61,95,66,3.58,GL,1603331842
Carnarvon,-24.87,113.63,71.6,56,40,19.46,AU,1603331842
Chui,-33.7,-53.46,58.14,76,96,13.69,UY,1603331843
Camacha,33.08,-16.33,64.4,68,40,13.87,PT,1603331843
Tasiilaq,65.61,-37.64,30.2,80,100,4.7,GL,1603331843
São Filipe,14.9,-24.5,80.71,75,46,4.74,CV,1603331843
Araouane,18.9,-3.53,85.57,17,0,5.93,ML,1603331843
Misratah,32.38,15.09,69.49,63,0,7.38,LY,1603331844
Wattegama,6.8,81.48,77.0,100,40,4.7,LK,1603331844
Margate,51.38,1.39,55.99,79,0,3.0,GB,1603331844
Sūsangerd,31.56,48.18,57.2,67,0,0.92,IR,1603331778
Sambava,-14.27,50.17,73.58,80,86,13.27,MG,1603331522
Seidu,9.02,-10.6,66.58,91,83,1.21,SL,1603331845
Chake Chake,-5.25,39.77,76.14,88,31,6.15,TZ,1603331845
Lagoa,39.05,-27.98,62.38,68,78,17.54,PT,1603331845
Koshki,54.21,50.47,28.0,96,36,8.34,RU,1603331845
Ilulissat,69.22,-51.1,28.4,74,100,4.7,GL,1603331845
Ibirataia,-14.07,-39.64,66.94,96,20,1.25,BR,1603331846
Dnestrovsc,46.62,29.91,50.0,81,99,6.71,MD,1603331846
Abaeté,-19.16,-45.45,72.5,81,95,4.43,BR,1603331846
Areosa,41.72,-8.86,57.2,93,40,5.82,PT,1603331846
Chillicothe,39.33,-82.98,64.0,100,90,2.82,US,1603331847
Camopi,3.17,-52.32,75.33,87,0,4.25,GF,1603331847
Saint-Philippe,-21.36,55.77,69.8,64,68,5.82,RE,1603331847
Salinas,36.68,-121.66,64.4,68,1,12.75,US,1603331694
Dikson,73.51,80.55,23.79,95,99,12.17,RU,1603331869
Longyearbyen,78.22,15.64,21.2,79,75,5.82,SJ,1603331869
Talen,23.57,76.72,75.72,49,74,4.23,IN,1603331869
Torbay,47.67,-52.73,46.99,93,90,10.29,CA,1603331869
Narsaq,60.92,-46.05,30.2,80,91,2.24,GL,1603331869
Adavere,58.71,25.9,46.99,98,100,3.0,EE,1603331870
Muzambinho,-21.38,-46.53,62.85,94,44,6.55,BR,1603331891
Shahreza,32.03,51.88,41.23,61,0,3.94,IR,1603331891
